,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
11,2015-03-19,LAL,,UTA,L 73-80,240,31,77,.403,28,66,.424,3,11,.273,8,17,.471,73,25,62,.403,16,37,.432,9,25,.360,21,31,.677,80
12,2015-03-16,LAL,@,GSW,L 105-108,240,39,85,.459,31,70,.443,8,15,.533,19,21,.905,105,40,84,.476,33,57,.579,7,27,.259,21,23,.913,108
13,2015-03-15,LAL,,ATL,L 86-91,240,34,85,.400,27,67,.403,7,18,.389,11,15,.733,86,34,76,.447,29,53,.547,5,23,.217,18,27,.667,91
14,2015-03-12,LAL,,NYK,L 94-101,240,38,90,.422,33,72,.458,5,18,.278,13,21,.619,94,36,77,.468,27,59,.458,9,18,.500,20,26,.769,101
15,2015-03-10,LAL,,DET,W 93-85,240,32,75,.427,29,62,.468,3,13,.231,26,30,.867,93,32,84,.381,24,49,.490,8,35,.229,13,19,.684,85
16,2015-03-08,LAL,,DAL,L 93-100,240,38,82,.463,36,68,.529,2,14,.143,15,21,.714,93,38,78,.487,29,52,.558,9,26,.346,15,22,.682,100
17,2015-03-06,LAL,@,MEM,L 90-97,240,39,84,.464,34,72,.472,5,12,.417,7,9,.778,90,34,77,.442,33,66,.500,1,11,.091,28,33,.848,97
18,2015-03-04,LAL,@,MIA,L 94-100,240,38,88,.432,31,70,.443,7,18,.389,11,17,.647,94,32,79,.405,29,63,.460,3,16,.188,33,43,.767,100
19,2015-03-03,LAL,@,CHO,L 103-104,240,39,86,.453,33,69,.478,6,17,.353,19,21,.905,103,39,79,.494,34,66,.515,5,13,.385,21,31,.677,104
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2015-03-01,LAL,,OKC,L 101-108,240,40,90,.444,31,65,.477,9,25,.360,12,18,.667,101,40,97,.412,29,65,.446,11,32,.344,17,23,.739,108
22,2015-02-27,LAL,,MIL,W 101-93,240,40,85,.471,34,67,.507,6,18,.333,15,22,.682,101,34,87,.391,30,70,.429,4,17,.235,21,29,.724,93
23,2015-02-25,LAL,@,UTA,W 100-97,240,40,89,.449,38,78,.487,2,11,.182,18,21,.857,100,34,73,.466,27,61,.443,7,12,.583,22,34,.647,97
24,2015-02-22,LAL,,BOS,W 118-111 (OT),265,43,84,.512,36,66,.545,7,18,.389,25,38,.658,118,42,98,.429,34,65,.523,8,33,.242,19,27,.704,111
25,2015-02-20,LAL,,BRK,L 105-114,240,41,89,.461,37,66,.561,4,23,.174,19,29,.655,105,42,89,.472,32,68,.471,10,21,.476,20,24,.833,114
26,2015-02-11,LAL,@,POR,L 86-102,240,34,93,.366,27,77,.351,7,16,.438,11,11,1.000,86,35,86,.407,25,56,.446,10,30,.333,22,23,.957,102
27,2015-02-10,LAL,,DEN,L 96-106,240,37,85,.435,31,67,.463,6,18,.333,16,27,.593,96,43,79,.544,39,63,.619,4,16,.250,16,23,.696,106
28,2015-02-08,LAL,@,CLE,L 105-120,240,41,100,.410,34,77,.442,7,23,.304,16,19,.842,105,45,82,.549,27,49,.551,18,33,.545,12,20,.600,120
29,2015-02-06,LAL,@,ORL,L 97-103 (OT),265,39,97,.402,28,71,.394,11,26,.423,8,13,.615,97,43,83,.518,38,68,.559,5,15,.333,12,14,.857,103
30,2015-02-04,LAL,@,MIL,L 105-113 (OT),265,39,93,.419,30,65,.462,9,28,.321,18,25,.720,105,41,82,.500,30,56,.536,11,26,.423,20,22,.909,113
