,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2016-11-27,CLE,@,PHI,W 112-108,240,38,92,.413,26,52,.500,12,40,.300,24,28,.857,112,43,92,.467,28,58,.483,15,34,.441,7,10,.700,108
1,2016-11-25,CLE,,DAL,W 128-90,240,43,85,.506,23,42,.548,20,43,.465,22,24,.917,128,37,91,.407,29,56,.518,8,35,.229,8,12,.667,90
2,2016-11-23,CLE,,POR,W 137-125,240,48,90,.533,27,54,.500,21,36,.583,20,27,.741,137,47,90,.522,34,61,.557,13,29,.448,18,19,.947,125
3,2016-11-18,CLE,,DET,W 104-81,240,40,83,.482,29,58,.500,11,25,.440,13,14,.929,104,29,93,.312,23,74,.311,6,19,.316,17,20,.850,81
4,2016-11-16,CLE,@,IND,L 93-103,240,35,86,.407,24,56,.429,11,30,.367,12,20,.600,93,43,86,.500,33,58,.569,10,28,.357,7,11,.636,103
5,2016-11-15,CLE,,TOR,W 121-117,240,44,83,.530,31,50,.620,13,33,.394,20,28,.714,121,46,96,.479,33,67,.493,13,29,.448,12,18,.667,117
6,2016-11-13,CLE,,CHO,W 100-93,240,39,92,.424,25,54,.463,14,38,.368,8,15,.533,100,36,95,.379,25,66,.379,11,29,.379,10,12,.833,93
7,2016-11-11,CLE,@,WAS,W 105-94,240,36,86,.419,22,53,.415,14,33,.424,19,26,.731,105,38,87,.437,35,72,.486,3,15,.200,15,19,.789,94
8,2016-11-08,CLE,,ATL,L 106-110,240,37,99,.374,26,57,.456,11,42,.262,21,25,.840,106,41,81,.506,30,52,.577,11,29,.379,17,24,.708,110
9,2016-11-05,CLE,@,PHI,W 102-101,240,37,91,.407,23,53,.434,14,38,.368,14,18,.778,102,40,87,.460,26,49,.531,14,38,.368,7,12,.583,101
10,2016-11-03,CLE,,BOS,W 128-122,240,41,84,.488,27,50,.540,14,34,.412,32,37,.865,128,46,96,.479,35,64,.547,11,32,.344,19,22,.864,122
11,2016-11-01,CLE,,HOU,W 128-120,240,43,83,.518,27,51,.529,16,32,.500,26,31,.839,128,43,90,.478,26,46,.565,17,44,.386,17,25,.680,120
12,2016-10-29,CLE,,ORL,W 105-99,240,36,88,.409,25,51,.490,11,37,.297,22,30,.733,105,38,84,.452,30,56,.536,8,28,.286,15,26,.577,99
13,2016-10-28,CLE,@,TOR,W 94-91,240,33,79,.418,21,47,.447,12,32,.375,16,22,.727,94,35,90,.389,31,74,.419,4,16,.250,17,18,.944,91
14,2016-10-25,CLE,,NYK,W 117-88,240,45,94,.479,32,59,.542,13,35,.371,14,19,.737,117,32,87,.368,23,60,.383,9,27,.333,15,20,.750,88
15,2016-04-13,CLE,,DET,L 110-112 (OT),265,46,97,.474,39,79,.494,7,18,.389,11,15,.733,110,37,85,.435,21,52,.404,16,33,.485,22,28,.786,112
