,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
12,2016-04-13,MIA,@,BOS,L 88-98,240,38,88,.432,36,69,.522,2,19,.105,10,12,.833,88,37,86,.430,32,72,.444,5,14,.357,19,22,.864,98
13,2016-04-12,MIA,@,DET,W 99-93,240,38,78,.487,31,58,.534,7,20,.350,16,22,.727,99,34,84,.405,29,66,.439,5,18,.278,20,30,.667,93
14,2016-04-10,MIA,,ORL,W 118-96,240,43,77,.558,37,57,.649,6,20,.300,26,30,.867,118,37,83,.446,30,65,.462,7,18,.389,15,19,.789,96
15,2016-04-08,MIA,@,ORL,L 109-112,240,45,100,.450,37,78,.474,8,22,.364,11,21,.524,109,43,82,.524,38,71,.535,5,11,.455,21,28,.750,112
16,2016-04-07,MIA,,CHI,W 106-98,240,44,92,.478,40,78,.513,4,14,.286,14,17,.824,106,35,78,.449,32,64,.500,3,14,.214,25,28,.893,98
17,2016-04-05,MIA,,DET,W 107-89,240,44,84,.524,35,70,.500,9,14,.643,10,14,.714,107,32,80,.400,27,58,.466,5,22,.227,20,25,.800,89
18,2016-04-02,MIA,@,POR,L 93-110,240,34,88,.386,28,69,.406,6,19,.316,19,27,.704,93,41,79,.519,31,64,.484,10,15,.667,18,23,.783,110
19,2016-04-01,MIA,@,SAC,W 112-106,240,42,82,.512,30,60,.500,12,22,.545,16,17,.941,112,38,87,.437,31,66,.470,7,21,.333,23,29,.793,106
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2016-03-30,MIA,@,LAL,L 100-102 (OT),265,41,86,.477,38,69,.551,3,17,.176,15,26,.577,100,37,102,.363,31,82,.378,6,20,.300,22,29,.759,102
22,2016-03-28,MIA,,BRK,W 110-99,240,48,84,.571,43,68,.632,5,16,.313,9,12,.750,110,41,77,.532,38,66,.576,3,11,.273,14,18,.778,99
23,2016-03-25,MIA,,ORL,W 108-97,240,40,80,.500,35,65,.538,5,15,.333,23,33,.697,108,36,84,.429,30,66,.455,6,18,.333,19,28,.679,97
24,2016-03-23,MIA,@,SAS,L 88-112,240,37,77,.481,30,63,.476,7,14,.500,7,12,.583,88,42,81,.519,34,67,.507,8,14,.571,20,24,.833,112
