,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
17,2016-03-31,DEN,@,NOP,L 95-101,240,36,83,.434,26,56,.464,10,27,.370,13,17,.765,95,40,90,.444,27,61,.443,13,29,.448,8,9,.889,101
18,2016-03-30,DEN,@,MEM,W 109-105,240,38,78,.487,25,49,.510,13,29,.448,20,24,.833,109,41,95,.432,35,76,.461,6,19,.316,17,27,.630,105
19,2016-03-28,DEN,,DAL,L 88-97,240,31,70,.443,22,46,.478,9,24,.375,17,19,.895,88,36,88,.409,25,56,.446,11,32,.344,14,15,.933,97
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2016-03-27,DEN,@,LAC,L 90-105,240,37,94,.394,30,65,.462,7,29,.241,9,13,.692,90,38,80,.475,28,52,.538,10,28,.357,19,26,.731,105
22,2016-03-25,DEN,@,LAL,W 116-105,240,45,94,.479,35,68,.515,10,26,.385,16,24,.667,116,37,85,.435,27,62,.435,10,23,.435,21,26,.808,105
23,2016-03-23,DEN,,PHI,W 104-103,240,33,76,.434,27,59,.458,6,17,.353,32,40,.800,104,37,94,.394,22,57,.386,15,37,.405,14,15,.933,103
24,2016-03-21,DEN,@,CLE,L 91-124,240,32,81,.395,24,59,.407,8,22,.364,19,25,.760,91,48,86,.558,33,55,.600,15,31,.484,13,17,.765,124
25,2016-03-19,DEN,@,CHO,W 101-93,240,38,87,.437,29,69,.420,9,18,.500,16,23,.696,101,35,83,.422,26,51,.510,9,32,.281,14,20,.700,93
26,2016-03-17,DEN,@,ATL,L 98-116,240,39,87,.448,33,65,.508,6,22,.273,14,17,.824,98,40,80,.500,28,54,.519,12,26,.462,24,28,.857,116
27,2016-03-15,DEN,@,ORL,L 110-116,240,40,80,.500,31,56,.554,9,24,.375,21,24,.875,110,44,81,.543,36,56,.643,8,25,.320,20,25,.800,116
28,2016-03-14,DEN,@,MIA,L 119-124,240,49,93,.527,42,73,.575,7,20,.350,14,20,.700,119,47,79,.595,39,62,.629,8,17,.471,22,28,.786,124
29,2016-03-12,DEN,,WAS,W 116-100,240,42,80,.525,34,56,.607,8,24,.333,24,29,.828,116,36,86,.419,29,65,.446,7,21,.333,21,29,.724,100
30,2016-03-10,DEN,,PHO,W 116-98,240,44,91,.484,31,63,.492,13,28,.464,15,19,.789,116,33,89,.371,27,61,.443,6,28,.214,26,33,.788,98
31,2016-03-08,DEN,,NYK,W 110-94,240,45,99,.455,39,78,.500,6,21,.286,14,19,.737,110,33,75,.440,27,57,.474,6,18,.333,22,26,.846,94
32,2016-03-06,DEN,,DAL,W 116-114 (OT),265,44,107,.411,35,81,.432,9,26,.346,19,25,.760,116,41,93,.441,25,52,.481,16,41,.390,16,20,.800,114
33,2016-03-04,DEN,,BRK,L 120-121 (OT),265,46,96,.479,40,70,.571,6,26,.231,22,25,.880,120,46,91,.505,33,69,.478,13,22,.591,16,21,.762,121
34,2016-03-02,DEN,,LAL,W 117-107,240,38,78,.487,26,55,.473,12,23,.522,29,38,.763,117,35,79,.443,24,48,.500,11,31,.355,26,32,.813,107
35,2016-02-29,DEN,,MEM,L 96-103,240,40,75,.533,32,50,.640,8,25,.320,8,10,.800,96,36,75,.480,33,55,.600,3,20,.150,28,36,.778,103
36,2016-02-26,DEN,@,DAL,L 116-122 (OT),265,43,93,.462,34,64,.531,9,29,.310,21,31,.677,116,45,88,.511,34,59,.576,11,29,.379,21,27,.778,122
37,2016-02-24,DEN,@,LAC,W 87-81,240,34,90,.378,28,66,.424,6,24,.250,13,17,.765,87,30,85,.353,17,39,.436,13,46,.283,8,14,.571,81
38,2016-02-23,DEN,,SAC,L 110-114,240,41,100,.410,31,73,.425,10,27,.370,18,22,.818,110,43,83,.518,36,66,.545,7,17,.412,21,28,.750,114
39,2016-02-21,DEN,,BOS,L 101-121,240,34,73,.466,28,52,.538,6,21,.286,27,34,.794,101,47,97,.485,37,65,.569,10,32,.313,17,20,.850,121
40,2016-02-19,DEN,@,SAC,L 110-116,240,42,90,.467,34,66,.515,8,24,.333,18,26,.692,110,41,83,.494,31,62,.500,10,21,.476,24,31,.774,116
41,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
42,2016-02-10,DEN,@,DET,W 103-92,240,39,83,.470,33,64,.516,6,19,.316,19,24,.792,103,38,88,.432,28,61,.459,10,27,.370,6,7,.857,92
43,2016-02-08,DEN,@,BRK,L 104-105,240,42,90,.467,33,65,.508,9,25,.360,11,13,.846,104,42,81,.519,33,62,.532,9,19,.474,12,15,.800,105
44,2016-02-07,DEN,@,NYK,W 101-96,240,37,86,.430,32,65,.492,5,21,.238,22,28,.786,101,37,84,.440,29,62,.468,8,22,.364,14,20,.700,96
45,2016-02-05,DEN,,CHI,W 115-110,240,39,87,.448,33,69,.478,6,18,.333,31,44,.705,115,43,93,.462,38,81,.469,5,12,.417,19,27,.704,110
46,2016-02-03,DEN,@,UTA,L 81-85,240,26,70,.371,22,52,.423,4,18,.222,25,33,.758,81,33,74,.446,28,52,.538,5,22,.227,14,20,.700,85
47,2016-02-01,DEN,,TOR,W 112-93,240,45,83,.542,35,61,.574,10,22,.455,12,15,.800,112,29,78,.372,21,53,.396,8,25,.320,27,39,.692,93
48,2016-01-30,DEN,@,IND,L 105-109 (OT),265,40,87,.460,36,69,.522,4,18,.222,21,25,.840,105,44,100,.440,35,73,.479,9,27,.333,12,16,.750,109
49,2016-01-28,DEN,@,WAS,W 117-113,240,41,81,.506,32,63,.508,9,18,.500,26,33,.788,117,39,88,.443,28,60,.467,11,28,.393,24,30,.800,113
50,2016-01-27,DEN,@,BOS,L 103-111,240,36,84,.429,29,63,.460,7,21,.333,24,32,.750,103,41,96,.427,32,68,.471,9,28,.321,20,24,.833,111
51,2016-01-25,DEN,,ATL,L 105-119,240,33,84,.393,27,64,.422,6,20,.300,33,37,.892,105,43,86,.500,34,59,.576,9,27,.333,24,26,.923,119
52,2016-01-23,DEN,,DET,W 104-101,240,36,78,.462,28,56,.500,8,22,.364,24,29,.828,104,40,84,.476,29,55,.527,11,29,.379,10,19,.526,101
53,2016-01-21,DEN,,MEM,L 101-102,240,36,80,.450,27,50,.540,9,30,.300,20,26,.769,101,36,72,.500,30,51,.588,6,21,.286,24,29,.828,102
54,2016-01-19,DEN,,OKC,L 104-110,240,35,83,.422,28,63,.444,7,20,.350,27,36,.750,104,41,97,.423,35,69,.507,6,28,.214,22,30,.733,110
55,2016-01-17,DEN,,IND,W 129-126,240,46,91,.505,36,65,.554,10,26,.385,27,38,.711,129,48,82,.585,39,62,.629,9,20,.450,21,30,.700,126
56,2016-01-15,DEN,,MIA,L 95-98,240,32,78,.410,26,60,.433,6,18,.333,25,26,.962,95,40,81,.494,36,69,.522,4,12,.333,14,19,.737,98
57,2016-01-13,DEN,,GSW,W 112-110,240,37,87,.425,32,65,.492,5,22,.227,33,37,.892,112,42,88,.477,32,62,.516,10,26,.385,16,20,.800,110
58,2016-01-10,DEN,,CHO,W 95-92,240,32,77,.416,20,50,.400,12,27,.444,19,23,.826,95,30,83,.361,18,47,.383,12,36,.333,20,24,.833,92
59,2016-01-08,DEN,@,MEM,L 84-91,240,32,87,.368,28,68,.412,4,19,.211,16,19,.842,84,30,82,.366,22,64,.344,8,18,.444,23,30,.767,91
60,2016-01-06,DEN,@,MIN,W 78-74,240,29,81,.358,21,61,.344,8,20,.400,12,17,.706,78,28,73,.384,25,62,.403,3,11,.273,15,20,.750,74
61,2016-01-03,DEN,,POR,L 106-112,240,34,80,.425,27,58,.466,7,22,.318,31,48,.646,106,40,78,.513,30,55,.545,10,23,.435,22,32,.688,112
62,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
63,2016-01-02,DEN,@,GSW,L 108-111 (OT),265,44,105,.419,39,75,.520,5,30,.167,15,23,.652,108,43,86,.500,33,58,.569,10,28,.357,15,23,.652,111
64,2015-12-30,DEN,@,POR,L 103-110,240,37,87,.425,25,60,.417,12,27,.444,17,19,.895,103,41,87,.471,29,55,.527,12,32,.375,16,20,.800,110
65,2015-12-29,DEN,,CLE,L 87-93,240,37,89,.416,32,65,.492,5,24,.208,8,11,.727,87,38,86,.442,34,64,.531,4,22,.182,13,22,.591,93
66,2015-12-27,DEN,@,OKC,L 112-122,240,46,94,.489,37,69,.536,9,25,.360,11,15,.733,112,48,83,.578,40,68,.588,8,15,.533,18,21,.857,122
